NO_OF_FRAMES	638
NO_OF_CAMERAS	16
NO_OF_MARKERS	71
FREQUENCY	400
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-08-07, 12:52:50.014	3307.37193418
DATA_INCLUDED	3D
MARKER_NAMES	R_illiac	R_troch	R_asis	L_illiac	L_troch	L_asis	R_PSIS	Sacrum	L_PSIS	R_thigh1	R_thigh2	R_thigh3	R_thigh4	RL_knee	RM_Knee	R_shank1	R_shank2	R_shank3	R_shank4	R_heel	RL_ankle	RM_ankle	R_Metatarsal5	R_Metatarsal1	L_thigh1	L_thigh2	L_thigh3	L_thigh4	LL_knee	LM_Knee	L_shank1	L_shank2	L_shank3	L_shank4	L_heel	LL_ankle	LM_Ankle	L_Metatarsal5	L_Metatarsal1	Back_down	Neck	Back_right	Back_left	Head_up	Head_front	Head_left	Head_right	R_shoulder	R_humerus1	R_humerus2	R_humerus3	Rl_elbow	RM_elbow	R_radius1	R_radius2	R_radius3	RL_wrist	Rm_wrist	R_hand	L_shoulder	L_humerus1	L_humerus2	L_humerus3	LL_elbow	LM_elbow	L_radius1	L_radius2	L_radius3	LL_wrist	Lm_wrist	L_hand
R_illiac X	R_illiac Y	R_illiac Z	R_troch X	R_troch Y	R_troch Z	R_asis X	R_asis Y	R_asis Z	L_illiac X	L_illiac Y	L_illiac Z	L_troch X	L_troch Y	L_troch Z	L_asis X	L_asis Y	L_asis Z	R_PSIS X	R_PSIS Y	R_PSIS Z	Sacrum X	Sacrum Y	Sacrum Z	L_PSIS X	L_PSIS Y	L_PSIS Z	R_thigh1 X	R_thigh1 Y	R_thigh1 Z	R_thigh2 X	R_thigh2 Y	R_thigh2 Z	R_thigh3 X	R_thigh3 Y	R_thigh3 Z	R_thigh4 X	R_thigh4 Y	R_thigh4 Z	RL_knee X	RL_knee Y	RL_knee Z	RM_Knee X	RM_Knee Y	RM_Knee Z	R_shank1 X	R_shank1 Y	R_shank1 Z	R_shank2 X	R_shank2 Y	R_shank2 Z	R_shank3 X	R_shank3 Y	R_shank3 Z	R_shank4 X	R_shank4 Y	R_shank4 Z	R_heel X	R_heel Y	R_heel Z	RL_ankle X	RL_ankle Y	RL_ankle Z	RM_ankle X	RM_ankle Y	RM_ankle Z	R_Metatarsal5 X	R_Metatarsal5 Y	R_Metatarsal5 Z	R_Metatarsal1 X	R_Metatarsal1 Y	R_Metatarsal1 Z	L_thigh1 X	L_thigh1 Y	L_thigh1 Z	L_thigh2 X	L_thigh2 Y	L_thigh2 Z	L_thigh3 X	L_thigh3 Y	L_thigh3 Z	L_thigh4 X	L_thigh4 Y	L_thigh4 Z	LL_knee X	LL_knee Y	LL_knee Z	LM_Knee X	LM_Knee Y	LM_Knee Z	L_shank1 X	L_shank1 Y	L_shank1 Z	L_shank2 X	L_shank2 Y	L_shank2 Z	L_shank3 X	L_shank3 Y	L_shank3 Z	L_shank4 X	L_shank4 Y	L_shank4 Z	L_heel X	L_heel Y	L_heel Z	LL_ankle X	LL_ankle Y	LL_ankle Z	LM_Ankle X	LM_Ankle Y	LM_Ankle Z	L_Metatarsal5 X	L_Metatarsal5 Y	L_Metatarsal5 Z	L_Metatarsal1 X	L_Metatarsal1 Y	L_Metatarsal1 Z	Back_down X	Back_down Y	Back_down Z	Neck X	Neck Y	Neck Z	Back_right X	Back_right Y	Back_right Z	Back_left X	Back_left Y	Back_left Z	Head_up X	Head_up Y	Head_up Z	Head_front X	Head_front Y	Head_front Z	Head_left X	Head_left Y	Head_left Z	Head_right X	Head_right Y	Head_right Z	R_shoulder X	R_shoulder Y	R_shoulder Z	R_humerus1 X	R_humerus1 Y	R_humerus1 Z	R_humerus2 X	R_humerus2 Y	R_humerus2 Z	R_humerus3 X	R_humerus3 Y	R_humerus3 Z	Rl_elbow X	Rl_elbow Y	Rl_elbow Z	RM_elbow X	RM_elbow Y	RM_elbow Z	R_radius1 X	R_radius1 Y	R_radius1 Z	R_radius2 X	R_radius2 Y	R_radius2 Z	R_radius3 X	R_radius3 Y	R_radius3 Z	RL_wrist X	RL_wrist Y	RL_wrist Z	Rm_wrist X	Rm_wrist Y	Rm_wrist Z	R_hand X	R_hand Y	R_hand Z	L_shoulder X	L_shoulder Y	L_shoulder Z	L_humerus1 X	L_humerus1 Y	L_humerus1 Z	L_humerus2 X	L_humerus2 Y	L_humerus2 Z	L_humerus3 X	L_humerus3 Y	L_humerus3 Z	LL_elbow X	LL_elbow Y	LL_elbow Z	LM_elbow X	LM_elbow Y	LM_elbow Z	L_radius1 X	L_radius1 Y	L_radius1 Z	L_radius2 X	L_radius2 Y	L_radius2 Z	L_radius3 X	L_radius3 Y	L_radius3 Z	LL_wrist X	LL_wrist Y	LL_wrist Z	Lm_wrist X	Lm_wrist Y	Lm_wrist Z	L_hand X	L_hand Y	L_hand Z	
268.810	556.887	1105.054	291.820	572.732	926.462	183.006	519.429	1055.126	266.935	218.283	1096.294	269.067	202.685	950.877	187.134	254.030	1047.165	377.415	443.731	1073.097	383.498	385.114	1093.457	381.295	331.875	1070.751	315.670	574.971	809.807	239.797	589.295	813.523	242.689	589.322	689.037	309.916	576.273	685.477	264.581	567.350	516.558	274.059	435.269	494.344	354.938	581.315	399.242	283.106	579.805	390.481	305.639	583.617	282.430	364.878	583.890	293.561	429.477	532.783	78.178	382.735	569.194	104.461	354.452	482.573	102.763	212.630	597.552	34.121	205.464	503.126	38.921	300.268	195.421	792.516	224.236	200.312	791.952	229.451	199.539	668.892	289.994	194.905	665.804	289.282	202.916	519.617	286.882	325.239	475.039	355.575	182.142	374.387	281.646	210.648	370.928	297.191	208.359	264.337	356.098	189.553	265.904	428.120	240.165	68.270	372.186	205.497	100.790	344.211	299.304	106.791	209.251	188.168	36.106	196.025	266.812	41.648	381.639	387.483	1221.367	372.603	388.087	1553.122	416.890	471.869	1391.952	412.109	309.505	1378.488	264.201	388.473	1825.190	130.331	361.009	1752.287	245.271	285.956	1720.062	212.951	479.713	1735.557	284.246	572.084	1548.632	264.403	668.612	1372.099	367.117	705.094	1446.826	343.229	735.317	1348.735	353.290	770.780	1292.321	427.675	692.430	1264.995	286.767	668.527	1227.350	329.913	781.811	1176.458	286.973	699.472	1131.175	311.861	600.688	1087.754	252.975	669.500	1060.976	231.358	609.635	1063.810	289.913	213.588	1558.437	250.955	126.804	1373.883	342.305	55.390	1435.489	313.035	52.587	1337.163	335.669	0.841	1266.838	414.723	76.491	1254.582	339.012	129.680	1226.686	277.304	25.984	1205.497	289.389	103.977	1139.944	291.453	173.190	1070.882	259.677	101.388	1022.161	230.259	156.860	1037.041
268.805	556.917	1105.097	291.939	572.727	926.478	183.066	519.329	1055.069	267.057	218.238	1096.371	270.163	202.308	952.086	187.261	254.016	1047.202	378.317	444.117	1073.866	383.979	385.127	1093.670	381.435	331.885	1070.859	315.791	574.926	809.741	239.935	589.259	813.481	242.716	589.299	689.015	309.934	576.229	685.391	264.383	567.354	516.516	273.701	435.259	494.317	354.773	581.261	399.246	282.905	579.784	390.468	305.495	583.584	282.390	364.727	583.848	293.555	429.454	532.777	78.181	382.707	569.173	104.493	354.443	482.553	102.781	212.610	597.558	34.125	205.456	503.129	38.938	300.410	195.430	792.474	224.397	200.298	791.949	229.550	199.498	668.870	290.084	194.870	665.776	289.329	202.901	519.598	286.843	325.244	475.017	355.564	182.156	374.367	281.596	210.644	370.877	297.166	208.371	264.310	356.090	189.572	265.863	428.125	240.177	68.287	372.193	205.491	100.790	344.162	299.297	106.718	209.247	188.170	36.129	196.027	266.814	41.724	381.618	387.530	1221.464	372.379	388.093	1553.189	416.707	471.858	1392.010	411.899	309.486	1378.561	263.898	388.467	1825.178	130.110	361.035	1752.333	244.962	285.972	1720.058	212.633	479.732	1735.598	283.998	572.117	1548.688	264.202	668.332	1371.833	366.824	705.108	1446.651	343.029	735.057	1348.461	353.163	770.435	1291.987	427.510	692.027	1264.873	286.613	668.189	1226.956	330.001	781.389	1176.028	286.994	699.087	1130.733	311.817	600.281	1087.425	253.013	669.112	1060.546	231.338	609.352	1063.560	289.613	213.571	1558.459	250.778	127.059	1373.571	341.997	55.406	1435.160	312.772	52.870	1336.820	335.424	1.176	1266.400	414.466	76.913	1254.183	338.836	130.001	1226.168	277.138	26.341	1205.096	289.249	104.268	1139.440	291.483	173.495	1070.381	259.569	101.692	1021.747	230.440	157.169	1036.559
268.782	556.941	1105.150	292.036	572.735	926.482	183.142	519.260	1055.014	267.158	218.245	1096.436	270.233	202.307	952.067	187.429	254.055	1047.190	377.637	443.714	1073.390	383.717	385.181	1093.758	381.592	331.867	1070.959	315.911	574.861	809.637	240.076	589.238	813.488	242.767	589.305	689.014	309.965	576.176	685.318	264.200	567.353	516.478	273.308	435.244	494.266	354.575	581.226	399.248	282.701	579.759	390.446	305.323	583.541	282.394	364.576	583.801	293.597	429.420	532.748	78.257	382.661	569.130	104.502	354.397	482.522	102.790	212.604	597.548	34.095	205.411	503.120	38.885	300.615	195.458	792.445	224.603	200.316	791.936	229.656	199.443	668.874	290.206	194.858	665.737	289.295	202.880	519.560	286.744	325.213	475.007	355.520	182.143	374.344	281.567	210.632	370.850	297.130	208.360	264.311	356.089	189.566	265.847	428.120	240.162	68.281	372.203	205.499	100.790	344.134	299.293	106.693	209.239	188.173	36.107	196.037	266.815	41.697	381.575	387.570	1221.563	372.138	388.089	1553.280	416.587	471.850	1392.136	411.726	309.451	1378.657	263.599	388.456	1825.184	129.778	361.030	1752.346	244.649	285.974	1720.028	212.312	479.724	1735.628	283.751	572.155	1548.759	264.097	668.048	1371.573	366.524	705.117	1446.477	342.342	734.818	1348.076	353.016	770.068	1291.618	427.372	691.544	1264.732	286.434	667.880	1226.567	330.108	781.031	1175.725	286.985	698.724	1130.246	311.682	599.966	1086.928	253.085	668.786	1060.170	231.284	609.122	1063.230	289.326	213.556	1558.506	250.575	127.284	1373.346	341.726	55.427	1434.799	312.527	53.151	1336.448	335.174	1.506	1266.010	414.238	77.323	1253.873	338.639	130.364	1225.669	276.963	26.704	1204.653	289.107	104.526	1138.943	291.417	173.730	1069.847	259.498	101.962	1021.271	230.388	157.367	1036.322
268.773	556.982	1105.191	292.180	572.773	926.529	183.264	519.218	1054.862	267.302	218.247	1096.516	272.263	202.593	954.619	187.649	254.131	1047.154	377.741	443.692	1073.527	383.819	385.197	1093.949	381.763	331.872	1071.134	315.994	574.798	809.592	240.218	589.228	813.507	242.803	589.313	689.005	309.997	576.142	685.243	263.983	567.357	516.475	272.910	435.251	494.243	354.359	581.181	399.266	282.477	579.701	390.406	305.207	583.503	282.382	364.434	583.762	293.562	429.373	532.717	78.262	382.611	569.104	104.537	354.366	482.511	102.775	212.591	597.544	34.125	205.396	503.121	38.865	300.794	195.466	792.392	224.801	200.318	791.911	229.785	199.390	668.871	290.320	194.825	665.712	289.286	202.865	519.571	286.684	325.223	475.006	355.486	182.153	374.308	281.547	210.640	370.840	297.106	208.356	264.242	356.044	189.565	265.857	428.108	240.167	68.276	372.203	205.492	100.769	344.133	299.302	106.697	209.244	188.172	36.119	196.022	266.795	41.693	381.572	387.635	1221.676	371.875	388.082	1553.318	416.326	471.798	1392.207	411.534	309.436	1378.830	263.244	388.441	1825.235	128.892	360.740	1752.751	244.314	285.979	1720.056	211.958	479.717	1735.668	283.486	572.190	1548.827	263.949	667.778	1371.309	366.268	705.128	1446.312	342.186	734.556	1347.775	352.893	769.710	1291.279	427.254	691.083	1264.596	286.280	667.600	1226.202	330.170	780.661	1175.396	287.017	698.455	1129.849	311.623	599.628	1086.576	253.146	668.492	1059.795	231.245	608.928	1062.917	289.010	213.545	1558.469	250.366	127.514	1373.149	341.441	55.473	1434.473	312.361	53.354	1335.995	334.960	1.833	1265.605	414.010	77.744	1253.613	338.348	130.679	1225.162	276.731	27.021	1204.203	288.901	104.740	1138.454	291.437	173.958	1069.280	259.408	102.177	1020.730	230.354	157.510	1036.105
268.769	556.993	1105.189	292.415	572.785	926.449	183.395	519.179	1054.771	267.405	218.243	1096.542	269.644	202.548	950.953	187.823	254.150	1047.145	378.666	444.085	1074.246	384.329	385.196	1094.173	381.941	331.882	1071.275	316.152	574.698	809.446	240.388	589.225	813.517	242.819	589.290	688.961	310.038	576.062	685.145	263.782	567.352	516.452	272.508	435.235	494.242	354.133	581.114	399.254	282.242	579.656	390.356	305.035	583.478	282.346	364.241	583.681	293.520	429.340	532.679	78.310	382.564	569.073	104.545	354.305	482.481	102.776	212.603	597.561	34.081	205.361	503.127	38.856	300.956	195.449	792.376	224.998	200.310	791.903	229.918	199.343	668.857	290.438	194.802	665.704	289.313	202.860	519.542	286.663	325.216	475.000	355.476	182.152	374.296	281.516	210.623	370.817	297.094	208.355	264.208	356.029	189.558	265.840	428.124	240.156	68.261	372.208	205.485	100.779	344.113	299.286	106.688	209.253	188.154	36.132	196.035	266.818	41.700	381.557	387.682	1221.769	371.632	388.089	1553.397	416.212	471.769	1392.344	411.351	309.400	1378.885	262.908	388.450	1825.267	129.088	361.018	1752.425	243.949	285.991	1720.045	211.620	479.716	1735.676	283.236	572.244	1548.871	263.725	667.541	1371.032	366.005	705.091	1446.099	342.526	734.250	1347.515	352.797	769.382	1290.967	427.123	690.603	1264.440	286.104	667.337	1225.838	330.264	780.390	1175.089	287.024	698.193	1129.404	311.556	599.326	1086.114	253.193	668.290	1059.392	231.183	608.763	1062.594	288.716	213.521	1558.471	250.203	127.741	1372.962	341.195	55.513	1434.163	312.120	53.621	1335.658	334.723	2.116	1265.211	413.657	78.115	1253.301	338.141	131.017	1224.643	276.517	27.318	1203.761	288.670	104.936	1137.869	291.453	174.119	1068.742	259.231	102.373	1020.254	230.308	157.625	1035.908
268.763	557.000	1105.196	292.714	572.785	926.323	183.544	519.199	1054.672	267.505	218.259	1096.564	269.546	202.535	950.739	187.986	254.204	1047.094	378.014	443.645	1073.813	384.050	385.227	1094.225	382.089	331.843	1071.402	316.276	574.653	809.420	240.557	589.223	813.533	242.871	589.305	688.942	310.083	576.002	685.036	263.581	567.356	516.446	272.098	435.242	494.237	353.897	581.046	399.294	282.004	579.645	390.341	304.883	583.439	282.358	364.075	583.650	293.563	429.296	532.660	78.342	382.540	569.034	104.580	354.284	482.462	102.779	212.583	597.535	34.076	205.356	503.133	38.860	301.238	195.481	792.287	225.215	200.297	791.919	230.043	199.310	668.872	290.595	194.782	665.637	289.325	202.840	519.543	286.648	325.203	474.947	355.445	182.138	374.276	281.500	210.635	370.818	297.093	208.357	264.165	356.031	189.568	265.810	428.136	240.165	68.269	372.212	205.492	100.777	344.086	299.283	106.680	209.258	188.170	36.121	196.049	266.794	41.682	381.525	387.736	1221.899	371.369	388.111	1553.459	416.005	471.720	1392.407	411.207	309.384	1378.908	262.544	388.434	1825.282	128.737	361.017	1752.439	243.598	285.984	1720.035	211.269	479.721	1735.704	282.983	572.283	1548.908	263.561	667.303	1370.841	365.746	705.085	1445.918	342.322	733.971	1347.216	352.757	769.036	1290.650	426.910	690.186	1263.908	285.943	667.099	1225.474	330.317	780.028	1174.624	286.985	697.985	1129.078	311.484	599.059	1085.672	253.234	668.123	1058.974	231.103	608.628	1062.304	288.398	213.480	1558.473	249.998	127.955	1372.717	340.915	55.555	1433.838	311.812	53.943	1335.443	334.478	2.383	1264.883	413.361	78.460	1253.037	337.856	131.319	1224.124	276.291	27.582	1203.324	288.506	105.124	1137.330	291.443	174.270	1068.165	259.050	102.510	1019.842	230.279	157.728	1035.714
268.824	556.998	1105.139	292.914	572.819	926.271	183.725	519.215	1054.567	267.617	218.272	1096.580	271.315	203.019	953.419	188.165	254.252	1047.068	378.156	443.623	1073.973	384.204	385.244	1094.368	382.265	331.824	1071.525	316.436	574.520	809.258	240.705	589.186	813.481	242.918	589.319	688.928	310.115	575.941	684.966	263.374	567.366	516.416	271.710	435.245	494.213	353.635	581.024	399.344	281.777	579.622	390.308	304.737	583.404	282.341	363.919	583.593	293.557	429.263	532.638	78.384	382.501	569.016	104.618	354.249	482.442	102.791	212.597	597.542	34.051	205.311	503.142	38.841	301.376	195.459	792.315	225.459	200.299	791.898	230.191	199.259	668.860	290.737	194.756	665.627	289.324	202.817	519.530	286.578	325.193	474.973	355.423	182.141	374.273	281.470	210.623	370.777	297.070	208.347	264.160	356.029	189.584	265.797	428.150	240.156	68.259	372.205	205.491	100.755	344.080	299.287	106.670	209.254	188.161	36.136	196.063	266.814	41.730	381.534	387.763	1222.047	371.088	388.117	1553.547	415.804	471.732	1392.458	411.018	309.389	1379.085	262.207	388.425	1825.282	128.389	360.994	1752.470	243.210	286.001	1720.054	210.901	479.713	1735.700	282.699	572.319	1548.983	263.447	667.076	1370.658	365.491	705.058	1445.732	342.159	733.701	1346.931	352.672	768.709	1290.336	426.742	689.712	1263.676	285.737	666.906	1225.007	330.449	779.667	1174.220	286.969	697.789	1128.697	311.391	598.839	1085.311	253.262	667.982	1058.548	231.039	608.543	1061.996	288.133	213.429	1558.490	249.741	128.144	1372.526	340.623	55.596	1433.457	311.546	54.196	1335.087	334.282	2.651	1264.522	413.077	78.820	1252.796	337.626	131.563	1223.630	276.084	27.829	1202.925	288.324	105.278	1136.818	291.451	174.379	1067.613	258.861	102.598	1019.357	230.238	157.795	1035.516
268.894	556.978	1105.099	293.140	572.827	926.119	183.868	519.234	1054.484	267.706	218.288	1096.593	271.184	202.889	952.923	188.338	254.326	1047.002	379.055	443.991	1074.691	384.683	385.241	1094.551	382.421	331.757	1071.653	316.582	574.453	809.206	240.884	589.161	813.481	242.955	589.287	688.916	310.136	575.858	684.873	263.166	567.358	516.395	271.328	435.233	494.205	353.436	580.940	399.289	281.555	579.580	390.215	304.579	583.366	282.342	363.751	583.517	293.607	429.230	532.612	78.425	382.453	568.968	104.632	354.206	482.412	102.796	212.573	597.525	34.036	205.303	503.129	38.838	301.628	195.479	792.220	225.674	200.285	791.905	230.347	199.214	668.846	290.852	194.744	665.583	289.359	202.803	519.518	286.549	325.188	474.926	355.412	182.144	374.242	281.472	210.596	370.748	297.062	208.364	264.146	355.998	189.559	265.783	428.151	240.155	68.256	372.207	205.478	100.751	344.066	299.281	106.688	209.256	188.177	36.126	196.042	266.793	41.749	381.506	387.847	1222.188	370.778	388.137	1553.620	415.677	471.698	1392.566	410.838	309.358	1379.103	261.856	388.424	1825.331	127.640	360.758	1752.846	242.838	286.005	1719.997	210.533	479.699	1735.736	282.460	572.373	1549.043	263.294	666.873	1370.483	365.245	705.019	1445.532	342.065	733.445	1346.648	352.632	768.369	1290.070	426.545	689.383	1263.440	285.558	666.696	1224.575	330.288	779.149	1173.444	286.926	697.618	1128.310	311.245	598.634	1084.967	253.251	667.888	1058.091	230.957	608.449	1061.700	287.821	213.398	1558.490	249.543	128.365	1372.320	340.328	55.663	1433.117	311.275	54.414	1334.780	334.093	2.906	1264.161	412.809	79.149	1252.508	337.418	131.815	1223.152	275.874	28.019	1202.587	288.142	105.376	1136.327	291.500	174.445	1067.037	258.677	102.708	1018.935	230.197	157.853	1035.259
268.966	556.972	1105.025	293.314	572.864	926.068	184.024	519.268	1054.376	267.809	218.295	1096.621	272.835	202.496	954.159	188.574	254.451	1046.907	379.247	443.993	1074.891	384.813	385.260	1094.641	382.563	331.718	1071.814	316.733	574.348	809.130	241.078	589.089	813.425	243.018	589.312	688.875	310.186	575.798	684.792	262.944	567.362	516.378	270.922	435.220	494.135	353.228	580.907	399.281	281.336	579.572	390.187	304.443	583.358	282.332	363.584	583.510	293.618	429.197	532.583	78.460	382.431	568.963	104.707	354.175	482.406	102.793	212.553	597.520	34.053	205.274	503.147	38.839	301.838	195.485	792.193	225.914	200.259	791.897	230.519	199.197	668.834	291.037	194.723	665.548	289.386	202.783	519.511	286.517	325.171	474.922	355.413	182.141	374.219	281.445	210.590	370.724	297.061	208.348	264.118	355.988	189.564	265.783	428.150	240.159	68.240	372.214	205.473	100.744	344.032	299.273	106.647	209.260	188.157	36.141	196.063	266.800	41.741	381.506	387.900	1222.346	370.498	388.159	1553.709	415.479	471.645	1392.691	410.674	309.358	1379.175	261.493	388.410	1825.354	127.630	360.937	1752.513	242.479	285.993	1720.015	210.170	479.694	1735.737	282.187	572.411	1549.057	263.157	666.673	1370.319	365.054	704.980	1445.298	341.802	733.120	1346.308	352.585	768.032	1289.724	426.402	688.874	1263.455	285.361	666.536	1224.166	330.377	778.929	1173.209	286.919	697.455	1127.926	311.126	598.472	1084.614	253.245	667.800	1057.733	230.887	608.382	1061.380	287.498	213.365	1558.456	249.292	128.547	1372.049	340.058	55.718	1432.810	311.654	54.707	1334.313	333.863	3.125	1263.827	412.516	79.453	1252.205	337.191	132.027	1222.600	275.663	28.182	1202.187	287.969	105.443	1135.925	291.522	174.482	1066.510	258.494	102.786	1018.519	230.150	157.887	1035.044
269.066	556.923	1104.966	293.558	572.886	925.947	184.223	519.293	1054.239	267.901	218.290	1096.658	273.044	202.429	954.161	188.717	254.486	1046.877	379.426	443.962	1074.987	384.982	385.236	1094.768	382.734	331.647	1071.912	316.885	574.242	809.053	241.272	589.111	813.496	243.092	589.321	688.877	310.203	575.730	684.695	262.703	567.403	516.321	270.543	435.244	494.143	352.988	580.856	399.301	281.108	579.556	390.121	304.322	583.352	282.315	363.426	583.477	293.655	429.158	532.560	78.512	382.385	568.925	104.762	354.131	482.386	102.813	212.566	597.539	34.053	205.236	503.141	38.824	302.086	195.484	792.118	226.126	200.233	791.900	230.693	199.144	668.811	291.199	194.705	665.519	289.408	202.774	519.496	286.538	325.175	474.892	355.409	182.141	374.214	281.434	210.578	370.688	297.050	208.342	264.092	356.001	189.588	265.749	428.156	240.148	68.241	372.227	205.468	100.733	344.036	299.292	106.672	209.284	188.165	36.154	196.061	266.796	41.769	381.511	387.961	1222.514	370.170	388.173	1553.797	415.393	471.626	1392.905	410.490	309.342	1379.269	261.144	388.376	1825.356	127.271	360.921	1752.524	242.083	285.972	1720.063	209.804	479.678	1735.778	281.924	572.433	1549.127	263.027	666.478	1370.106	364.850	704.926	1445.146	341.686	732.880	1346.075	352.524	767.735	1289.405	426.244	688.442	1263.269	285.158	666.385	1223.840	330.464	778.694	1172.962	286.867	697.352	1127.625	310.975	598.326	1084.204	253.215	667.721	1057.350	230.783	608.279	1060.995	287.190	213.309	1558.450	249.026	128.699	1371.848	339.804	55.769	1432.531	311.403	54.924	1334.047	333.665	3.350	1263.503	412.227	79.760	1251.823	336.970	132.228	1222.180	275.419	28.351	1201.777	287.825	105.512	1135.421	291.538	174.508	1065.988	258.330	102.818	1018.142	230.131	157.908	1034.823
269.154	556.897	1104.913	293.714	572.883	925.824	184.435	519.364	1054.082	267.993	218.313	1096.666	273.214	202.396	954.091	188.928	254.596	1046.750	379.582	443.963	1075.099	385.119	385.255	1094.886	382.907	331.599	1072.040	317.046	574.146	808.970	241.437	589.022	813.427	243.137	589.311	688.847	310.246	575.650	684.626	262.511	567.422	516.284	270.175	435.239	494.118	352.773	580.804	399.293	280.909	579.538	390.088	304.113	583.334	282.158	363.261	583.450	293.653	429.124	532.536	78.539	382.349	568.913	104.806	354.092	482.360	102.812	212.549	597.527	34.029	205.233	503.151	38.848	302.270	195.490	792.126	226.389	200.232	791.880	230.898	199.105	668.832	291.374	194.697	665.481	289.452	202.740	519.486	286.501	325.164	474.878	355.406	182.140	374.198	281.430	210.559	370.666	297.039	208.332	264.065	355.966	189.573	265.737	428.152	240.149	68.235	372.271	205.460	100.711	344.051	299.281	106.699	209.267	188.149	36.148	196.090	266.811	41.738	381.509	388.020	1222.666	369.864	388.179	1553.881	415.111	471.560	1392.948	410.300	309.360	1379.344	260.733	388.354	1825.367	126.860	360.863	1752.541	241.715	285.950	1720.048	209.387	479.670	1735.814	281.675	572.494	1549.177	262.863	666.300	1369.966	364.667	704.870	1444.919	341.646	732.668	1345.855	352.484	767.467	1289.178	426.101	688.085	1263.269	284.991	666.252	1223.556	330.571	778.483	1172.683	286.817	697.228	1127.267	310.885	598.192	1083.805	253.197	667.679	1057.007	230.727	608.191	1060.657	286.858	213.258	1558.392	248.751	128.818	1371.698	339.536	55.843	1432.288	311.113	55.110	1333.784	333.474	3.531	1263.221	411.964	80.072	1251.450	336.737	132.361	1221.663	275.146	28.478	1201.371	287.676	105.559	1134.978	291.576	174.521	1065.452	258.118	102.805	1017.730	230.125	157.912	1034.589
269.323	556.842	1104.833	293.944	572.906	925.736	184.624	519.413	1053.923	268.087	218.320	1096.695	273.356	202.338	953.935	189.052	254.687	1046.781	379.776	443.968	1075.257	385.265	385.266	1094.988	383.093	331.534	1072.201	317.244	574.045	808.900	241.644	589.001	813.462	243.193	589.333	688.830	310.280	575.566	684.535	262.298	567.449	516.289	269.831	435.248	494.075	352.596	580.779	399.306	280.702	579.559	390.061	303.976	583.338	282.119	363.118	583.396	293.687	429.088	532.519	78.581	382.314	568.882	104.809	354.060	482.362	102.815	212.513	597.521	34.037	205.209	503.154	38.846	302.558	195.512	792.034	226.645	200.212	791.879	231.066	199.059	668.839	291.533	194.681	665.503	289.496	202.717	519.474	286.485	325.147	474.843	355.392	182.116	374.178	281.434	210.546	370.631	297.051	208.338	264.028	356.000	189.573	265.710	428.164	240.131	68.223	372.241	205.466	100.727	344.032	299.266	106.644	209.275	188.153	36.165	196.081	266.790	41.768	381.499	388.062	1222.790	369.561	388.195	1554.008	414.846	471.488	1393.084	410.110	309.350	1379.441	260.351	388.331	1825.355	126.460	360.869	1752.503	241.356	285.951	1720.047	208.947	479.641	1735.830	281.386	572.517	1549.236	262.743	666.167	1369.847	364.494	704.814	1444.812	341.633	732.439	1345.658	352.459	767.216	1288.972	425.935	687.712	1263.050	284.787	666.154	1223.284	330.641	778.315	1172.448	286.792	697.123	1126.992	310.802	598.094	1083.399	253.092	667.673	1056.618	230.675	608.132	1060.371	286.557	213.216	1558.345	248.498	128.963	1371.452	339.271	55.940	1432.026	310.845	55.302	1333.444	333.295	3.695	1262.977	411.679	80.322	1251.172	336.499	132.474	1221.223	274.907	28.599	1201.032	287.512	105.613	1134.492	291.698	174.564	1064.935	257.957	102.773	1017.306	230.107	157.895	1034.370
